oddscheck_team_name,db_club_id,db_club_name,match_count,avg_confidence,avg_fuzzy_score
Kaiserslautern,2,1.FC Kaiserslautern,3,90.25,85
Huesca,5358,SD Huesca,3,90.25,80
Barcelona B,2464,FC Barcelona B,3,90.25,88
Platanias,21957,AO Platanias,3,90.25,86
Bryne,1057,Bryne FK,3,90.33,77
Atvidabergs,6139,Åtvidabergs FF,3,90.33,80
Univ. Craiova,40812,CS Universitatea Craiova,3,90.42,65
Gefle,4414,Gefle IF,3,90.42,77
Milton Keynes Dons,991,Milton Keynes Dons,3,90.42,100
Seraing,2715,RFC Seraing,3,90.42,78
Gil Vicente,2424,Gil Vicente FC,3,90.42,88
Belenenses,68608,CF Os Belenenses,3,90.42,77
Shanghai Shenhua,3183,Shanghai Shenhua Liansheng,3,90.5,76
Torpedo Moscow,1186,Torpedo Moskau,3,90.5,79
CF Montreal,4078,Montreal Impact,3,90.5,62
Mallorca,237,RCD Mallorca,3,90.5,80
Sociedad,681,Real Sociedad,3,90.5,76
Amorebieta,16575,SD Amorebieta,3,90.5,87
Dunkerque,9202,USL Dunkerque,3,90.5,82
Velez Sarsfield,1029,CA Vélez Sarsfield,3,90.58,85
Viborg,1063,Viborg FF,3,90.58,80
Elfsborg,1101,IF Elfsborg,3,90.58,84
Sundsvall,2843,GIF Sundsvall,3,90.58,82
Syrianska,7406,Syrianska FC,3,90.58,86
Extremadura UD,29095,Extremadura UD,3,90.58,100
Zaglebie,168,Zaglebie Lubin,3,90.67,73
Malmo FF,496,Malmö FF,3,90.67,88
Schalke 04,33,FC Schalke 04,3,90.67,87
Sandhausen,254,SV Sandhausen,3,90.67,87
PreuÃen MÃ¼nster,91,Preußen Münster,3,90.67,81
Argentinos Jrs,1030,AA Argentinos Juniors,3,90.75,80
Rosario Central,1418,CA Rosario Central,3,90.75,91
Halmstad,1011,Halmstads BK,3,90.75,80
Kelty Hearts,3804,Kelty Hearts FC,3,90.75,89
Hannover,42,Hannover 96,3,90.75,84
Juve Stabia,5587,SS Juve Stabia,3,90.75,88
RAAL La Louviere,3901,RAAL La Louvière,3,90.75,94
Vendsyssel,19657,Vendsyssel FF,3,90.83,87
Arsenal,11,Arsenal FC,3,90.83,82
Augsburg,167,FC Augsburg,3,90.83,84
Elversberg,64,SV 07 Elversberg,3,90.83,77
Chaves,3325,GD Chaves,3,90.83,80
Quilmes,1826,Quilmes AC,3,90.92,82
Farul Constanta,29831,FC Viitorul Constanta,3,90.92,78
Djurgarden,1044,Djurgårdens IF,3,90.92,75
Dalkurd,23302,Dalkurd FF,3,90.92,82
Villarreal B,11972,Villarreal CF B,3,90.92,89
Vladikavkaz,2703,Alania Vladikavkaz,3,91,76
Utrecht ,200,FC Utrecht,1,91,82
Qingdao West Coast,70662,Qingdao West Coast,3,91.08,100
Silkeborg,1177,Silkeborg IF,3,91.08,86
Calarasi,37239,Dunarea Calarasi,3,91.08,67
Mioveni,11390,CS Mioveni,3,91.08,82
Dynamo Makhachkala,75231,Dinamo Makhachkala,3,91.08,94
Erzgebirge Aue,94,FC Erzgebirge Aue,3,91.08,90
Llagostera,26132,UE Llagostera,3,91.08,87
Rodez,11273,Rodez AF,3,91.08,77
Mouscron-Peruwelz,29228,Mouscron-Péruwelz,3,91.08,94
FC Brasov,4687,FC Brasov,3,91.17,100
Metaloglobus Bucharest,37624,FC Metaloglobus Bucharest,3,91.17,94
Sampdoria,1038,UC Sampdoria,3,91.17,86
Cremonese,2239,US Cremonese,3,91.17,86
Puebla,5662,Puebla FC,3,91.25,80
Rosenborg,195,Rosenborg BK,3,91.25,86
Chindia Targoviste,12680,AFC Chindia Targoviste,3,91.25,90
Levante,3368,Levante UD,3,91.25,82
CSKA Moscow,2410,CSKA Moscow,3,91.33,100
Tenerife,648,CD Tenerife,3,91.33,84
Feirense,3349,CD Feirense,3,91.33,84
Olympiakos Volou,4602,Olympiakos Volou,3,91.33,100
Aalborg,1053,Aalborg BK,3,91.42,82
Nordsjaelland,2778,FC Nordsjaelland,3,91.42,90
Khimki,3719,FC Khimki,3,91.42,80
Stevenage,3684,Stevenage FC,3,91.42,86
Union Berlin,89,1.FC Union Berlin,3,91.42,83
Osasuna,331,CA Osasuna,3,91.42,82
VVV Venlo,1426,VVV-Venlo,3,91.42,89
Moreirense,979,Moreirense FC,3,91.42,87
Viitorul Constanta,29831,FC Viitorul Constanta,3,91.5,92
Dynamo Moscow,121,Dinamo Moscow,3,91.5,92
Eldense,12567,CD Eldense,3,91.5,82
Groningen ,202,FC Groningen,1,91.5,86
Academica Clinceni,21475,Academica Clinceni,3,91.58,100
U Craiova 1948,1007,FC U Craiova 1948,3,91.58,90
Dundee,511,Dundee FC,3,91.58,80
Cercle Brugge,520,Cercle Brugge,3,91.58,100
Farense,4294,SC Farense,3,91.58,82
Alcoyano,11259,CD Alcoyano,3,91.67,84
Martigues,1165,FC Martigues,3,91.67,86
Chengdu Rongcheng,65791,Chengdu Rongcheng,3,91.75,100
Machida,23568,Machida Zelvia,3,91.75,67
Atlante,6709,CF Atlante,3,91.75,82
Ankaragucu,868,MKE Ankaragücü,3,91.75,67
Vitesse ,499,Vitesse Arnhem,1,91.75,67
St Mirren,465,St. Mirren FC,3,91.83,82
Vestsjaelland,20100,FC Vestsjaelland,3,91.92,90
Krasnodar,16704,FC Krasnodar,3,91.92,86
Guangzhou R&F,18916,Guangzhou R&F,3,92,100
Randers FC,5724,Randers FC,3,92,100
Aarhus,678,Aarhus GF,3,92,80
Virtus Entella,20519,Virtus Entella,3,92,100
Reus Deportiu,13225,CF Reus Deportiu,3,92,90
Boavista,2503,Boavista FC,3,92,84
Feirense ,3349,CD Feirense,1,92,84
Hangzhou Greentown,17276,Hangzhou Greentown,3,92.08,100
Qingdao FC,38987,Qingdao FC,3,92.08,100
Nantong Zhiyun,46487,Nantong Zhiyun,3,92.08,100
Rangers,124,Rangers FC,3,92.08,82
Wurzburger Kickers,1557,Würzburger Kickers,3,92.08,94
Sarpsborg 08,10217,Sarpsborg 08 FF,3,92.17,89
CFR Cluj,7769,CFR Cluj,3,92.17,100
FC Arges,41278,ACSC FC Arges,3,92.17,76
FK Rostov,1083,FC Rostov,3,92.17,89
Ostersunds,9614,Östersunds FK,3,92.17,78
Bromley,8981,Bromley FC,3,92.17,82
Casa Pia,3268,Casa Pia AC,3,92.17,84
